word,stress_rule,pair_partner,corpus_weight,detail
confío,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
tensión,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
dramático,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
líneas,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
práctica,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
última,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
óiganme,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
démosles,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
cuántos,pair,cuantos,3,"diacritic: same spelling, different word"
sensación,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
escúchenme,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
piénsenlo,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
investigación,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
reúnen,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
tecnología,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
teléfonos,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
estorbándole,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
abrió,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
rompámoslas,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
pongámonos,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
compañía,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
entregó,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
voltéense,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
mírense,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
amaré,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
caminaré,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
darán,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
recibirán,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
pónganse,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
cóctel,other,,3,ends in a consonant other than n/s but stressed on the second-to-last syllable → tilde
bendición,vowel-n-s,,2,ends in vowel/n/s but stressed on the LAST syllable → tilde
capítulo,exception,,2,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
salvación,vowel-n-s,,1,ends in vowel/n/s but stressed on the LAST syllable → tilde
